Function,Total Duration (out.txt),Total Duration (out_SoA.txt),Total Duration (out_SIMD.txt),Total Duration (out_OpenMP.txt),Total Duration (out_final.txt),Speedup vs out.txt (out_SoA.txt),Speedup vs out.txt (out_SIMD.txt),Speedup vs out.txt (out_OpenMP.txt),Speedup vs out.txt (out_final.txt)
total,44.75233889,41.96694851,5.49807439,1.76235689,0.87414519,1.0663710486202322,8.139638665383718,25.393459828672952,51.19554440378491
find_neighbors,28.380947550000005,20.845527919999988,2.285277220000001,0.23119402,0.1677312,1.3614885484751984,12.419039275243811,122.75813859718346,169.20493951035948
substep,13.133029219999996,10.156282889999998,1.9739687,0.17550215,0.1861186499999998,1.2930940741056887,6.653109150109622,74.831158592644,70.56267182251757
compute_position,4.916577750000004,3.2512516800000006,0.5568717500000001,0.04690841,0.05504992,1.5122107526292774,8.828922907294189,104.81228739153606,89.31126057948865
update_velocity,4.162747389999999,4.189168709999999,0.8741629500000003,0.0775915099999999,0.0776503599999999,0.9936929443932565,4.761981035686764,53.64952157781185,53.608861439921256
compute_lambdas,3.96984774,2.6493363799999985,0.5367641300000001,0.04441594,0.0465029799999999,1.498430991990531,7.395888655972595,89.37889730578706,85.36759880764649
output,2.7490372800000005,10.469942350000002,1.1727058899999996,1.2764091499999997,0.4343363800000002,0.26256470075023863,2.344183058550172,2.1537273373510377,6.329281650319044
update_grid,0.42251774,0.40668916,0.0562881499999999,0.07108014,0.06338134,1.0389205849499406,7.5063355253281685,5.944244623040978,6.666279696831907
apply_position,0.0778309399999999,0.0631764599999999,0.00475069,0.00562223,0.00607704,1.2319610817066993,16.383081194521196,13.843428675098654,12.807376617563799
apply_gravity,0.03973696,0.05150845,0.0062870999999999,0.0023858399999999,0.0175879699999999,0.7714648761513888,6.320395730941234,16.655333132147028,2.2593261189324423
after_update,0.0250942899999999,0.0326092,0.0020476,0.0015421499999999,0.0017057,0.7695463243501804,12.255464934557482,16.272275718964774,14.71201852611825
